date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:45:01	57078/57078	---M-Z	200	added ('OK')	text/html	etag:W/%2266b479dc-def6%22	https://themewagon.github.io/Investa/index.html	C:/My%20Web%20Sites/testing-project/themewagon.github.io/Investa/index.html	(from )
18:45:01	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2266b11ffa-239b%22	https://themewagon.github.io/robots.txt		(from )
18:45:02	59305/59305	---MCZ	200	added ('OK')	text/css	etag:W/%22ecd507b3125edc4d2a03aa6ae5d07da9%22	https://use.fontawesome.com/releases/v5.15.4/css/all.css	C:/My%20Web%20Sites/testing-project/use.fontawesome.com/releases/v5.15.4/css/all.css	(from https://themewagon.github.io/Investa/index.html)
18:45:02	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/My%20Web%20Sites/testing-project/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://themewagon.github.io/Investa/index.html)
18:45:02	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/My%20Web%20Sites/testing-project/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://themewagon.github.io/Investa/index.html)
18:45:03	16964/16964	---M-Z	200	added ('OK')	text/css	etag:W/%2266b479dc-4244%22	https://themewagon.github.io/Investa/lib/animate/animate.min.css	C:/My%20Web%20Sites/testing-project/themewagon.github.io/Investa/lib/animate/animate.min.css	(from https://themewagon.github.io/Investa/index.html)
18:45:03	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%2266b479dc-b78%22	https://themewagon.github.io/Investa/lib/owlcarousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/testing-project/themewagon.github.io/Investa/lib/owlcarousel/assets/owl.carousel.min.css	(from https://themewagon.github.io/Investa/index.html)
18:45:04	2532/2532	---M-Z	200	added ('OK')	text/css	etag:W/%2266b479dc-9e4%22	https://themewagon.github.io/Investa/lib/lightbox/css/lightbox.min.css	C:/My%20Web%20Sites/testing-project/themewagon.github.io/Investa/lib/lightbox/css/lightbox.min.css	(from https://themewagon.github.io/Investa/index.html)
18:45:04	164703/164703	---M-Z	200	added ('OK')	text/css	etag:W/%2266b479dc-2835f%22	https://themewagon.github.io/Investa/css/bootstrap.min.css	C:/My%20Web%20Sites/testing-project/themewagon.github.io/Investa/css/bootstrap.min.css	(from https://themewagon.github.io/Investa/index.html)
18:45:04	20675/20675	---M-Z	200	added ('OK')	text/css	etag:W/%2266b479dc-50c3%22	https://themewagon.github.io/Investa/css/style.css	C:/My%20Web%20Sites/testing-project/themewagon.github.io/Investa/css/style.css	(from https://themewagon.github.io/Investa/index.html)
18:45:05	28613/28613	---M-Z	200	added ('OK')	text/html	etag:W/%2266b479dc-6fc5%22	https://themewagon.github.io/Investa/about.html	C:/My%20Web%20Sites/testing-project/themewagon.github.io/Investa/about.html	(from https://themewagon.github.io/Investa/index.html)
18:45:05	32084/32084	---M-Z	200	added ('OK')	text/html	etag:W/%2266b479dc-7d54%22	https://themewagon.github.io/Investa/service.html	C:/My%20Web%20Sites/testing-project/themewagon.github.io/Investa/service.html	(from https://themewagon.github.io/Investa/index.html)
18:45:05	25427/25427	---M-Z	200	added ('OK')	text/html	etag:W/%2266b479dc-6353%22	https://themewagon.github.io/Investa/project.html	C:/My%20Web%20Sites/testing-project/themewagon.github.io/Investa/project.html	(from https://themewagon.github.io/Investa/index.html)
